rank,county,population,score,survival_prob,revenue_score,projected_revenue,sector_growth_pct,annual_growth_rate,economic_adjustment,p_shrinking,p_flat,p_moderate,p_strong,status,notes
14,"Carroll, GA",127293,87.31,0.79,0.9561,5.5923185e+06,36.4,10.9,1.316,0.033,0.013,0.066,0.887,ok,
15,"Oconee, GA",44256,87.2,0.7887,0.9554,5.547838e+06,35.31,10.61,1.306,0.027,0.022,0.119,0.832,ok,
16,"Columbia, GA",165470,86.87,0.7887,0.9487,5.549173e+06,35.35,10.62,1.306,0.035,0.02,0.097,0.848,ok,
17,"Walton, GA",106778,86.86,0.7854,0.9518,5.440854e+06,32.7,9.89,1.281,0.022,0.033,0.234,0.711,ok,
18,"Henry, GA",254934,86.76,0.7881,0.947,5.528044e+06,34.83,10.47,1.301,0.034,0.023,0.118,0.825,ok,
19,"Richmond, GA",205646,86.54,0.7839,0.947,5.391366e+06,31.5,9.56,1.269,0.022,0.038,0.28,0.659,ok,
20,"DeKalb, GA",768047,86.21,0.7867,0.9374,5.480843e+06,33.68,10.16,1.29,0.037,0.032,0.148,0.783,ok,
21,"Coweta, GA",156269,86.18,0.7886,0.935,5.544466e+06,35.23,10.58,1.305,0.053,0.015,0.06,0.872,ok,
22,"Pickens, GA",35975,85.79,0.7874,0.9283,5.505643e+06,34.28,10.33,1.296,0.043,0.036,0.097,0.824,ok,pop_dampened
23,"Chatham, GA",304757,85.77,0.7819,0.9336,5.327687e+06,29.94,9.12,1.254,0.026,0.051,0.322,0.602,ok,
24,"Rockdale, GA",96263,85.75,0.7853,0.9296,5.438144e+06,32.64,9.87,1.28,0.044,0.033,0.173,0.75,ok,
25,"Thomas, GA",45666,85.47,0.7862,0.9233,5.46441e+06,33.28,10.05,1.286,0.053,0.029,0.124,0.793,ok,
26,"Catoosa, GA",68935,84.83,0.7843,0.9124,5.4040335e+06,31.81,9.64,1.272,0.058,0.037,0.165,0.74,ok,
27,"Effingham, GA",71549,84.63,0.7835,0.9092,5.377708e+06,31.16,9.46,1.266,0.058,0.04,0.188,0.714,ok,
28,"Fulton, GA",1083971,84.29,0.7766,0.9093,5.165924e+06,26.0,8.01,1.216,0.029,0.077,0.454,0.44,ok,
29,"Bibb, GA",156676,84.25,0.7841,0.9008,5.398649e+06,31.67,9.61,1.271,0.071,0.035,0.138,0.756,ok,
30,"Baldwin, GA",43423,84.07,0.7814,0.9001,5.3118285e+06,29.56,9.02,1.25,0.068,0.04,0.234,0.658,ok,
31,"Polk, GA",44363,83.88,0.7717,0.9059,5.023762e+06,22.53,7.01,1.183,0.03,0.08,0.614,0.276,ok,
32,"Lowndes, GA",120800,83.72,0.7802,0.8943,5.2764665e+06,28.69,8.77,1.242,0.06,0.057,0.271,0.612,ok,
33,"Habersham, GA",48851,83.44,0.7812,0.8877,5.3078485e+06,29.46,8.99,1.249,0.075,0.047,0.209,0.669,ok,
34,"Spalding, GA",69992,83.31,0.7831,0.8831,5.366145e+06,30.88,9.39,1.263,0.095,0.027,0.116,0.761,ok,
35,"Dawson, GA",31720,83.19,0.7834,0.8804,5.376951e+06,31.15,9.46,1.266,0.069,0.063,0.122,0.746,ok,pop_dampened
36,"Ware, GA",36263,82.97,0.7825,0.8769,5.3475085e+06,30.43,9.26,1.259,0.084,0.049,0.136,0.731,ok,pop_dampened
37,"Troup, GA",70957,82.08,0.779,0.8627,5.237848e+06,27.75,8.51,1.233,0.096,0.052,0.221,0.631,ok,
38,"Bartow, GA",114977,82.03,0.7663,0.8743,4.872388e+06,18.84,5.92,1.147,0.029,0.121,0.729,0.121,ok,
39,"Muscogee, GA",201959,81.68,0.7764,0.8573,5.159842e+06,25.85,7.97,1.215,0.081,0.077,0.313,0.529,ok,
40,"Whitfield, GA",104147,81.55,0.7741,0.857,5.092132e+06,24.2,7.49,1.199,0.064,0.099,0.405,0.432,ok,
41,"Barrow, GA",93011,81.35,0.7731,0.8539,5.0653075e+06,23.54,7.3,1.192,0.068,0.097,0.427,0.408,ok,
42,"Lee, GA",33928,80.72,0.7672,0.8472,4.8988425e+06,19.48,6.11,1.153,0.058,0.118,0.619,0.205,ok,pop_dampened
43,"White, GA",29056,79.91,0.7703,0.828,4.983679e+06,21.55,6.72,1.173,0.083,0.111,0.459,0.347,ok,pop_dampened
44,"Houston, GA",171955,79.82,0.7666,0.8299,4.882905e+06,19.1,6.0,1.149,0.056,0.142,0.604,0.198,ok,
45,"Clayton, GA",299380,79.65,0.7666,0.8263,4.8830865e+06,19.1,6.0,1.149,0.055,0.149,0.597,0.199,ok,
46,"Sumter, GA",28942,79.57,0.7764,0.815,5.161488e+06,25.89,7.98,1.215,0.109,0.095,0.203,0.593,ok,pop_dampened
47,"Laurens, GA",49932,79.1,0.7699,0.8122,4.9731365e+06,21.3,6.65,1.171,0.114,0.092,0.411,0.382,ok,
48,"Toombs, GA",27198,79.01,0.7768,0.8034,5.171991e+06,26.15,8.05,1.217,0.119,0.097,0.159,0.625,ok,pop_dampened
49,"Tift, GA",41620,78.58,0.7656,0.8059,4.855075e+06,18.42,5.8,1.143,0.086,0.136,0.564,0.214,ok,
50,"Jones, GA",29000,78.31,0.775,0.7913,5.118697e+06,24.85,7.68,1.205,0.129,0.1,0.189,0.583,ok,pop_dampened
51,"Putnam, GA",23183,78.29,0.7748,0.791,5.115219e+06,24.76,7.65,1.204,0.115,0.117,0.203,0.565,ok,pop_dampened
52,"Upson, GA",28265,78.14,0.7759,0.7868,5.145287e+06,25.49,7.86,1.211,0.142,0.089,0.137,0.632,ok,pop_dampened
53,"Union, GA",27115,77.95,0.7687,0.7903,4.9394755e+06,20.48,6.41,1.163,0.102,0.134,0.419,0.344,ok,pop_dampened
54,"Jackson, GA",88723,77.58,0.762,0.7896,4.7589135e+06,16.07,5.09,1.12,0.051,0.199,0.675,0.075,ok,
55,"Chattooga, GA",25176,77.4,0.7701,0.7779,4.979189e+06,21.44,6.69,1.172,0.116,0.133,0.335,0.416,ok,pop_dampened
56,"Colquitt, GA",46515,77.33,0.7661,0.7806,4.8672885e+06,18.71,5.88,1.146,0.119,0.126,0.472,0.284,ok,
57,"Gilmer, GA",32868,77.25,0.768,0.777,4.919065e+06,19.98,6.26,1.158,0.122,0.126,0.4,0.352,ok,pop_dampened
58,"Peach, GA",28807,77.06,0.7625,0.7787,4.772584e+06,16.4,5.19,1.123,0.091,0.163,0.605,0.141,ok,pop_dampened
59,"Bryan, GA",49876,76.71,0.7681,0.7661,4.923871e+06,20.09,6.29,1.159,0.126,0.135,0.368,0.371,ok,
60,"Stephens, GA",27255,76.65,0.7701,0.7628,4.9796425e+06,21.45,6.69,1.172,0.134,0.13,0.29,0.447,ok,pop_dampened
61,"Crisp, GA",19668,76.01,0.7726,0.7475,5.050994e+06,23.19,7.2,1.189,0.145,0.134,0.165,0.556,ok,pop_dampened
62,"Lamar, GA",20420,75.58,0.7701,0.7415,4.978913e+06,21.44,6.69,1.172,0.144,0.143,0.239,0.474,ok,pop_dampened
63,"Butts, GA",26875,75.53,0.7602,0.7503,4.7128065e+06,14.95,4.75,1.109,0.102,0.184,0.611,0.103,ok,pop_dampened
64,"Fannin, GA",25916,75.49,0.7631,0.7467,4.7885765e+06,16.79,5.31,1.127,0.114,0.174,0.501,0.211,ok,pop_dampened
65,"Greene, GA",20733,74.9,0.7671,0.7308,4.89588e+06,19.41,6.09,1.152,0.14,0.161,0.319,0.38,ok,pop_dampened
66,"Monroe, GA",30616,74.88,0.7685,0.7291,4.933535e+06,20.33,6.36,1.161,0.167,0.13,0.25,0.453,ok,pop_dampened
67,"Newton, GA",120529,74.42,0.7667,0.7217,4.883908e+06,19.12,6.01,1.15,0.192,0.108,0.273,0.427,ok,
68,"Morgan, GA",21537,73.88,0.7622,0.7153,4.7642905e+06,16.2,5.13,1.121,0.137,0.185,0.449,0.229,ok,pop_dampened
69,"Hart, GA",27557,73.59,0.7628,0.7091,4.778835e+06,16.56,5.24,1.125,0.176,0.144,0.385,0.295,ok,pop_dampened
70,"Franklin, GA",24815,73.58,0.7616,0.7099,4.74753e+06,15.79,5.01,1.118,0.138,0.191,0.458,0.214,ok,pop_dampened
71,"Dougherty, GA",82635,73.5,0.7584,0.7117,4.6653895e+06,13.79,4.4,1.098,0.176,0.141,0.53,0.154,ok,
72,"McDuffie, GA",21860,73.49,0.7646,0.7053,4.8269035e+06,17.73,5.59,1.136,0.165,0.162,0.33,0.343,ok,pop_dampened
73,"Grady, GA",26130,73.28,0.7633,0.7023,4.793735e+06,16.92,5.35,1.128,0.16,0.173,0.368,0.3,ok,pop_dampened
74,"Dodge, GA",19799,73.25,0.7678,0.6972,4.915525e+06,19.89,6.23,1.157,0.19,0.141,0.186,0.483,ok,pop_dampened
75,"Walker, GA",69410,73.03,0.7595,0.7011,4.694175e+06,14.49,4.61,1.105,0.154,0.181,0.492,0.173,ok,
76,"Brantley, GA",18417,72.68,0.7631,0.6906,4.788387e+06,16.79,5.31,1.127,0.16,0.187,0.35,0.303,ok,pop_dampened
77,"Harris, GA",36700,72.56,0.7598,0.6914,4.702557e+06,14.7,4.68,1.107,0.13,0.223,0.479,0.168,ok,pop_dampened
78,"Madison, GA",32255,71.94,0.7571,0.6817,4.633226e+06,13.01,4.16,1.091,0.124,0.242,0.55,0.083,ok,pop_dampened
79,"Pike, GA",20422,71.83,0.7635,0.6731,4.7991e+06,17.05,5.39,1.13,0.184,0.179,0.283,0.355,ok,pop_dampened
80,"Burke, GA",24431,71.81,0.7603,0.6759,4.713645e+06,14.97,4.76,1.11,0.158,0.208,0.413,0.221,ok,pop_dampened
81,"Long, GA",19651,71.05,0.7577,0.6632,4.648809e+06,13.39,4.28,1.094,0.191,0.182,0.442,0.185,ok,pop_dampened
82,"Mitchell, GA",20778,70.92,0.7588,0.6595,4.67629e+06,14.06,4.48,1.101,0.181,0.199,0.408,0.212,ok,pop_dampened
83,"Towns, GA",13007,70.85,0.7618,0.6551,4.7535455e+06,15.94,5.05,1.119,0.186,0.199,0.3,0.315,ok,pop_dampened
84,"Dade, GA",16188,70.77,0.7616,0.6538,4.7475295e+06,15.79,5.01,1.118,0.194,0.191,0.298,0.317,ok,pop_dampened
85,"Charlton, GA",12928,70.37,0.7636,0.6439,4.801803e+06,17.12,5.41,1.13,0.216,0.176,0.194,0.414,ok,pop_dampened
86,"Pulaski, GA",10114,70.3,0.7632,0.6428,4.7912535e+06,16.86,5.33,1.128,0.203,0.193,0.215,0.389,ok,pop_dampened
87,"Crawford, GA",12335,69.88,0.7617,0.636,4.7502415e+06,15.86,5.03,1.118,0.207,0.197,0.248,0.348,ok,pop_dampened
88,"Berrien, GA",18587,69.62,0.7592,0.6332,4.6872895e+06,14.32,4.56,1.103,0.215,0.19,0.314,0.282,ok,pop_dampened
89,"Jenkins, GA",8628,69.53,0.7613,0.6292,4.741486e+06,15.65,4.96,1.116,0.207,0.205,0.245,0.344,ok,pop_dampened
90,"Hancock, GA",8730,69.46,0.7609,0.6284,4.7296115e+06,15.36,4.88,1.113,0.205,0.208,0.259,0.328,ok,pop_dampened
91,"Evans, GA",10753,69.24,0.7607,0.6241,4.724842e+06,15.24,4.84,1.112,0.217,0.198,0.246,0.338,ok,pop_dampened
92,"Pierce, GA",20443,69.02,0.7568,0.6236,4.6244195e+06,12.79,4.09,1.089,0.203,0.217,0.381,0.199,ok,pop_dampened
93,"Telfair, GA",10969,68.36,0.7581,0.6092,4.6581125e+06,13.61,4.35,1.096,0.216,0.219,0.299,0.266,ok,pop_dampened
94,"Decatur, GA",29124,68.24,0.7538,0.6111,4.5498305e+06,10.97,3.53,1.071,0.233,0.195,0.424,0.148,ok,pop_dampened
95,"Worth, GA",20271,68.21,0.7555,0.6087,4.593745e+06,12.04,3.86,1.081,0.227,0.206,0.37,0.198,ok,pop_dampened
96,"Lanier, GA",10452,68.2,0.7584,0.6055,4.665352e+06,13.79,4.4,1.098,0.222,0.215,0.278,0.285,ok,pop_dampened
97,"Haralson, GA",32040,68.06,0.7557,0.6055,4.5969425e+06,12.12,3.89,1.082,0.235,0.199,0.353,0.212,ok,pop_dampened
98,"Atkinson, GA",8351,67.9,0.7577,0.6004,4.6468795e+06,13.34,4.26,1.094,0.216,0.229,0.295,0.259,ok,pop_dampened
99,"Marion, GA",7485,67.88,0.7565,0.601,4.618389e+06,12.64,4.05,1.087,0.214,0.232,0.334,0.221,ok,pop_dampened
100,"Treutlen, GA",6351,67.84,0.7581,0.5986,4.6584955e+06,13.62,4.35,1.097,0.22,0.226,0.274,0.28,ok,pop_dampened
101,"Oglethorpe, GA",15788,67.6,0.755,0.5971,4.5801365e+06,11.71,3.76,1.078,0.212,0.238,0.374,0.175,ok,pop_dampened
102,"Turner, GA",8926,67.37,0.756,0.5913,4.606349e+06,12.35,3.96,1.084,0.231,0.223,0.316,0.231,ok,pop_dampened
103,"Calhoun, GA",5462,67.14,0.7576,0.5852,4.6458835e+06,13.31,4.25,1.094,0.234,0.226,0.251,0.289,ok,pop_dampened
104,"Stewart, GA",4697,66.84,0.7576,0.5792,4.6444255e+06,13.28,4.24,1.093,0.24,0.226,0.236,0.298,ok,pop_dampened
105,"Cook, GA",17760,66.67,0.7542,0.5793,4.5612725e+06,11.25,3.62,1.074,0.207,0.267,0.365,0.161,ok,pop_dampened
106,"Bacon, GA",11140,66.46,0.755,0.5743,4.5801175e+06,11.71,3.76,1.078,0.238,0.235,0.308,0.22,ok,pop_dampened
107,"Montgomery, GA",8767,66.38,0.7547,0.5728,4.5740175e+06,11.56,3.71,1.077,0.226,0.251,0.321,0.201,ok,pop_dampened
108,"Coffee, GA",43464,66.17,0.7528,0.5706,4.5267065e+06,10.41,3.36,1.066,0.299,0.164,0.321,0.217,ok,
109,"Chattahoochee, GA",8588,66.15,0.755,0.5679,4.5815945e+06,11.75,3.77,1.078,0.229,0.253,0.299,0.218,ok,pop_dampened
110,"Glascock, GA",2943,66.03,0.7557,0.5648,4.598838e+06,12.17,3.9,1.083,0.243,0.24,0.261,0.256,ok,pop_dampened
111,"Wheeler, GA",7097,65.95,0.7547,0.5642,4.5732785e+06,11.54,3.71,1.077,0.236,0.249,0.297,0.218,ok,pop_dampened
112,"Washington, GA",19891,65.78,0.7532,0.5625,4.535814e+06,10.63,3.42,1.068,0.226,0.265,0.348,0.161,ok,pop_dampened
113,"Wilkinson, GA",8747,65.75,0.7545,0.5605,4.5670285e+06,11.39,3.66,1.075,0.223,0.271,0.307,0.199,ok,pop_dampened
114,"Irwin, GA",9123,65.73,0.7554,0.5592,4.590357e+06,11.96,3.84,1.081,0.274,0.209,0.236,0.281,ok,pop_dampened
115,"Randolph, GA",6113,65.68,0.7543,0.5592,4.563691e+06,11.31,3.64,1.074,0.251,0.237,0.287,0.224,ok,pop_dampened
116,"Baker, GA",2750,65.66,0.755,0.5582,4.5802015e+06,11.71,3.76,1.078,0.243,0.248,0.27,0.238,ok,pop_dampened
117,"Seminole, GA",9080,65.54,0.7548,0.5559,4.5764425e+06,11.62,3.73,1.077,0.257,0.233,0.259,0.25,ok,pop_dampened
118,"Quitman, GA",2278,65.48,0.755,0.5546,4.579947e+06,11.71,3.76,1.078,0.245,0.25,0.262,0.243,ok,pop_dampened
119,"Meriwether, GA",20964,65.41,0.752,0.5562,4.5076975e+06,9.94,3.21,1.061,0.232,0.265,0.366,0.137,ok,pop_dampened
120,"Ben Hill, GA",17150,65.39,0.7531,0.5547,4.5334425e+06,10.57,3.41,1.067,0.223,0.278,0.338,0.162,ok,pop_dampened
121,"Macon, GA",11838,65.26,0.7533,0.552,4.5383945e+06,10.69,3.44,1.068,0.239,0.262,0.314,0.186,ok,pop_dampened
122,"Echols, GA",3739,65.18,0.7544,0.5493,4.5656405e+06,11.36,3.65,1.075,0.25,0.251,0.265,0.234,ok,pop_dampened
123,"Candler, GA",11106,65.12,0.7538,0.5486,4.5503045e+06,10.98,3.53,1.071,0.26,0.24,0.276,0.225,ok,pop_dampened
124,"Warren, GA",5108,65.11,0.7541,0.5481,4.5593275e+06,11.2,3.6,1.073,0.244,0.26,0.275,0.221,ok,pop_dampened
125,"Taliaferro, GA",1601,64.9,0.7543,0.5437,4.5637085e+06,11.31,3.64,1.074,0.257,0.249,0.251,0.243,ok,pop_dampened
126,"Rabun, GA",17525,64.8,0.753,0.543,4.531924e+06,10.53,3.4,1.067,0.274,0.229,0.276,0.221,ok,pop_dampened
127,"Clinch, GA",6808,64.8,0.7536,0.5425,4.545009e+06,10.85,3.49,1.07,0.254,0.254,0.274,0.218,ok,pop_dampened
128,"Clay, GA",2869,64.72,0.7544,0.54,4.5644675e+06,11.33,3.64,1.074,0.242,0.273,0.253,0.232,ok,pop_dampened
129,"Wilcox, GA",8801,64.33,0.7524,0.5342,4.5159685e+06,10.15,3.27,1.063,0.27,0.245,0.281,0.204,ok,pop_dampened
130,"Webster, GA",2367,64.26,0.7542,0.531,4.5613855e+06,11.25,3.62,1.074,0.241,0.285,0.239,0.235,ok,pop_dampened
131,"Schley, GA",4534,64.06,0.7529,0.5282,4.529381e+06,10.47,3.38,1.066,0.282,0.237,0.243,0.238,ok,pop_dampened
132,"Murray, GA",41072,64.04,0.7492,0.5317,4.4394775e+06,8.28,2.69,1.045,0.214,0.318,0.415,0.053,ok,
133,"Appling, GA",18517,64.02,0.7521,0.5283,4.5096335e+06,9.99,3.23,1.062,0.296,0.219,0.256,0.228,ok,pop_dampened
134,"McIntosh, GA",11532,63.96,0.7522,0.5271,4.511232e+06,10.03,3.24,1.062,0.258,0.269,0.282,0.192,ok,pop_dampened
135,"Bleckley, GA",12455,63.8,0.7519,0.524,4.50572e+06,9.9,3.2,1.061,0.265,0.263,0.277,0.195,ok,pop_dampened
136,"Johnson, GA",9328,63.76,0.7518,0.5234,4.5030145e+06,9.83,3.17,1.06,0.298,0.224,0.254,0.224,ok,pop_dampened
137,"Miller, GA",5790,63.7,0.7522,0.5218,4.5118245e+06,10.04,3.24,1.062,0.289,0.237,0.247,0.228,ok,pop_dampened
138,"Jeff Davis, GA",14927,63.68,0.7513,0.5223,4.4901595e+06,9.52,3.08,1.057,0.255,0.279,0.301,0.166,ok,pop_dampened
139,"Brooks, GA",16275,63.65,0.7517,0.5213,4.5009155e+06,9.78,3.16,1.059,0.229,0.312,0.305,0.154,ok,pop_dampened
140,"Wilkes, GA",9552,63.6,0.7527,0.5193,4.5234855e+06,10.33,3.33,1.065,0.239,0.302,0.264,0.195,ok,pop_dampened
141,"Jefferson, GA",15211,63.43,0.7512,0.5175,4.4868725e+06,9.44,3.05,1.056,0.292,0.238,0.266,0.203,ok,pop_dampened
142,"Dooly, GA",11056,63.23,0.7521,0.5125,4.5083565e+06,9.96,3.22,1.061,0.241,0.308,0.268,0.183,ok,pop_dampened
143,"Talbot, GA",5715,62.95,0.7535,0.5055,4.5434e+06,10.81,3.48,1.069,0.222,0.341,0.223,0.214,ok,pop_dampened
144,"Lumpkin, GA",35268,62.6,0.7504,0.5016,4.4675685e+06,8.97,2.9,1.052,0.401,0.122,0.17,0.307,ok,pop_dampened
145,"Taylor, GA",7793,62.32,0.7501,0.4963,4.4619225e+06,8.83,2.86,1.05,0.316,0.235,0.237,0.212,ok,pop_dampened
146,"Twiggs, GA",7706,62.23,0.75,0.4946,4.459647e+06,8.77,2.84,1.05,0.316,0.236,0.236,0.211,ok,pop_dampened
147,"Lincoln, GA",7898,62.21,0.7501,0.4942,4.461148e+06,8.81,2.85,1.05,0.308,0.247,0.239,0.205,ok,pop_dampened
148,"Screven, GA",14204,62.02,0.7486,0.4919,4.424803e+06,7.92,2.57,1.042,0.312,0.245,0.278,0.165,ok,pop_dampened
149,"Banks, GA",19863,61.97,0.7489,0.4905,4.431842e+06,8.09,2.63,1.043,0.303,0.259,0.273,0.166,ok,pop_dampened
150,"Terrell, GA",8704,61.43,0.7489,0.4796,4.4340055e+06,8.15,2.64,1.044,0.326,0.244,0.231,0.2,ok,pop_dampened
151,"Liberty, GA",68235,60.96,0.7475,0.4717,4.3993255e+06,7.3,2.38,1.036,0.176,0.44,0.371,0.013,ok,
152,"Early, GA",10570,60.42,0.7472,0.4612,4.3920155e+06,7.12,2.32,1.034,0.362,0.221,0.219,0.198,ok,pop_dampened
153,"Wayne, GA",31449,59.89,0.7434,0.4544,4.3051485e+06,5.0,1.64,1.013,0.349,0.245,0.327,0.079,ok,pop_dampened
154,"Heard, GA",12052,59.84,0.7513,0.4456,4.490272e+06,9.52,3.08,1.057,0.2,0.443,0.182,0.175,ok,pop_dampened
155,"Emanuel, GA",23146,59.07,0.7439,0.4376,4.316671e+06,5.28,1.73,1.016,0.371,0.239,0.261,0.129,ok,pop_dampened
156,"Jasper, GA",16496,58.48,0.7437,0.4258,4.3128355e+06,5.19,1.7,1.015,0.413,0.201,0.21,0.175,ok,pop_dampened
157,"Elbert, GA",20003,57.36,0.7476,0.3996,4.4032305e+06,7.4,2.41,1.036,0.224,0.471,0.18,0.125,ok,pop_dampened
158,"Tattnall, GA",24328,52.51,0.7337,0.3165,4.096152e+06,-0.09,-0.03,0.964,0.551,0.166,0.167,0.116,ok,pop_dampened
159,"Camden, GA",57991,49.49,0.7279,0.2618,3.9765318e+06,-3.01,-1.01,0.936,0.573,0.206,0.2,0.02,ok,
