rank,county,population,score,tier,survival_prob,revenue_score,projected_revenue,sector_growth_pct,annual_growth_rate,economic_adjustment,p_shrinking,p_flat,p_moderate,p_strong,status,notes
32,"Greene, GA",20733,53.63999938964844,Strong Expand,0.8512,0.7412,505379.44,32.99,5.87,1.254,0.141,0.147,0.377,0.335,ok,pop_dampened
33,"Spalding, GA",69992,50.86000061035156,Strong Expand,0.854,0.6726,495231.8,30.32,5.44,1.228,0.265,0.078,0.211,0.446,ok,
34,"Muscogee, GA",201959,50.439998626708984,Strong Expand,0.8634,0.7096,488615.12,28.58,5.16,1.212,0.2,0.113,0.383,0.303,ok,
35,"Catoosa, GA",68935,49.689998626708984,Strong Expand,0.88,0.7276,477170.4,25.57,4.66,1.184,0.154,0.147,0.54,0.158,ok,
36,"Rockdale, GA",96263,49.68000030517578,Strong Expand,0.8593,0.794,488609.53,28.58,5.16,1.212,0.107,0.124,0.631,0.139,ok,
37,"Butts, GA",26875,49.38999938964844,Strong Expand,0.8432,0.7397,497050.62,30.8,5.52,1.233,0.146,0.143,0.428,0.283,ok,pop_dampened
38,"Fannin, GA",25916,48.13999938964844,Strong Expand,0.864,0.7151,481283.62,26.65,4.84,1.194,0.154,0.164,0.485,0.198,ok,pop_dampened
39,"Glynn, GA",86229,46.779998779296875,Strong Expand,0.8625,0.7215,478047.12,25.8,4.7,1.186,0.158,0.15,0.518,0.174,ok,
40,"Franklin, GA",24815,44.880001068115234,Strong Expand,0.8411,0.7139,484315.84,27.45,4.97,1.201,0.154,0.165,0.46,0.221,ok,pop_dampened
41,"Jasper, GA",16496,44.7599983215332,Strong Expand,0.8686,0.6185,468614.62,23.32,4.28,1.162,0.232,0.187,0.317,0.264,ok,pop_dampened
42,"Colquitt, GA",46515,44.470001220703125,Strong Expand,0.8529,0.7029,476348.75,25.35,4.62,1.182,0.207,0.112,0.453,0.228,ok,
43,"Evans, GA",10753,44.02000045776367,Strong Expand,0.8493,0.6214,476999.88,25.53,4.65,1.183,0.218,0.2,0.272,0.309,ok,pop_dampened
44,"Coweta, GA",156269,43.79999923706055,Strong Expand,0.8537,0.7352,473863.62,24.7,4.51,1.175,0.087,0.222,0.631,0.06,ok,
45,"Banks, GA",19863,43.47999954223633,Strong Expand,0.8468,0.6648,476739.38,25.46,4.64,1.182,0.194,0.176,0.382,0.247,ok,pop_dampened
46,"Lee, GA",33928,43.310001373291016,Strong Expand,0.8616,0.6342,468034.75,23.17,4.26,1.161,0.24,0.157,0.348,0.255,ok,pop_dampened
47,"Grady, GA",26130,43.18000030517578,Strong Expand,0.8501,0.6889,473989.1,24.73,4.52,1.176,0.172,0.174,0.47,0.184,ok,pop_dampened
48,"Hart, GA",27557,43.0,Strong Expand,0.8398,0.6828,479219.88,26.11,4.75,1.189,0.18,0.171,0.412,0.236,ok,pop_dampened
49,"Richmond, GA",205646,42.88999938964844,Strong Expand,0.8731,0.6589,460621.03,21.22,3.92,1.143,0.212,0.162,0.475,0.152,ok,
50,"Gilmer, GA",32868,42.84000015258789,Strong Expand,0.8515,0.7236,472121.1,24.24,4.44,1.171,0.094,0.228,0.614,0.064,ok,pop_dampened
51,"Bartow, GA",114977,42.54999923706055,Strong Expand,0.8627,0.7007,465107.84,22.4,4.12,1.154,0.183,0.145,0.551,0.121,ok,
52,"Long, GA",19651,41.97999954223633,Strong Expand,0.8561,0.5944,466984.47,22.89,4.21,1.158,0.268,0.172,0.252,0.308,ok,pop_dampened
53,"Wilkes, GA",9552,41.20000076293945,Strong Expand,0.8707,0.5809,456817.62,20.22,3.75,1.133,0.237,0.228,0.324,0.211,ok,pop_dampened
54,"Gordon, GA",59844,41.13999938964844,Strong Expand,0.861,0.6989,461775.56,21.52,3.98,1.145,0.164,0.171,0.587,0.078,ok,
55,"Miller, GA",5790,41.02000045776367,Strong Expand,0.8565,0.5674,463814.4,22.06,4.07,1.15,0.256,0.22,0.229,0.295,ok,pop_dampened
56,"Barrow, GA",93011,40.79999923706055,Strong Expand,0.8617,0.6903,460369.25,21.15,3.91,1.142,0.209,0.126,0.543,0.122,ok,
57,"Chatham, GA",304757,40.7400016784668,Strong Expand,0.8896,0.5813,445764.62,17.31,3.24,1.106,0.156,0.329,0.469,0.046,ok,
58,"Crisp, GA",19668,40.630001068115234,Strong Expand,0.849,0.6183,466744.28,22.83,4.2,1.158,0.23,0.19,0.333,0.248,ok,pop_dampened
59,"Ware, GA",36263,40.470001220703125,Strong Expand,0.8187,0.7905,483484.9,27.23,4.93,1.199,0.1,0.137,0.666,0.097,ok,pop_dampened
60,"Jefferson, GA",15211,39.70000076293945,Strong Expand,0.8604,0.585,457739.84,20.46,3.79,1.135,0.257,0.198,0.31,0.235,ok,pop_dampened
61,"Twiggs, GA",7706,39.43000030517578,Strong Expand,0.8508,0.5913,462051.75,21.59,3.99,1.146,0.228,0.226,0.313,0.233,ok,pop_dampened
62,"Upson, GA",28265,39.369998931884766,Strong Expand,0.8635,0.5885,455090.03,19.76,3.67,1.129,0.29,0.152,0.311,0.247,ok,pop_dampened
63,"Candler, GA",11106,39.369998931884766,Strong Expand,0.8577,0.5592,458175.2,20.57,3.81,1.136,0.28,0.201,0.236,0.283,ok,pop_dampened
64,"Clayton, GA",299380,39.34000015258789,Strong Expand,0.8542,0.6954,459972.84,21.05,3.89,1.141,0.129,0.219,0.619,0.033,ok,
65,"Montgomery, GA",8767,37.869998931884766,Strong Expand,0.8375,0.5803,464552.12,22.25,4.1,1.152,0.251,0.211,0.254,0.284,ok,pop_dampened
66,"Towns, GA",13007,37.27000045776367,Strong Expand,0.8501,0.5696,455822.0,19.95,3.71,1.131,0.209,0.276,0.329,0.186,ok,pop_dampened
67,"Rabun, GA",17525,37.20000076293945,Strong Expand,0.8494,0.5902,455993.2,20.0,3.71,1.131,0.196,0.267,0.38,0.156,ok,pop_dampened
68,"Talbot, GA",5715,37.119998931884766,Strong Expand,0.8526,0.5522,454051.28,19.49,3.62,1.126,0.241,0.259,0.282,0.218,ok,pop_dampened
69,"Baldwin, GA",43423,37.0099983215332,Strong Expand,0.8534,0.6068,453293.0,19.29,3.59,1.124,0.242,0.189,0.399,0.17,ok,
70,"Walker, GA",69410,36.939998626708984,Strong Expand,0.8501,0.6385,454845.97,19.7,3.66,1.128,0.236,0.157,0.458,0.149,ok,
71,"Heard, GA",12052,36.93000030517578,Strong Expand,0.8492,0.5764,455282.38,19.81,3.68,1.129,0.215,0.261,0.343,0.181,ok,pop_dampened
72,"Houston, GA",171955,36.79999923706055,Strong Expand,0.8691,0.5628,444489.9,16.97,3.18,1.103,0.336,0.127,0.299,0.239,ok,
73,"Washington, GA",19891,36.470001220703125,Strong Expand,0.8278,0.5809,465614.62,22.53,4.15,1.155,0.279,0.175,0.226,0.32,ok,pop_dampened
74,"Brooks, GA",16275,36.2400016784668,Strong Expand,0.8483,0.5871,453648.62,19.38,3.61,1.125,0.221,0.24,0.373,0.166,ok,pop_dampened
75,"Schley, GA",4534,36.040000915527344,Strong Expand,0.8446,0.5546,454990.97,19.73,3.67,1.129,0.255,0.238,0.269,0.238,ok,pop_dampened
76,"Camden, GA",57991,35.9900016784668,Strong Expand,0.8271,0.5864,464446.28,22.22,4.1,1.152,0.344,0.087,0.195,0.374,ok,
77,"Stephens, GA",27255,35.93000030517578,Strong Expand,0.8463,0.604,453778.38,19.42,3.61,1.126,0.194,0.252,0.427,0.127,ok,pop_dampened
78,"Telfair, GA",10969,35.880001068115234,Strong Expand,0.8395,0.563,457238.2,20.33,3.77,1.134,0.272,0.206,0.256,0.266,ok,pop_dampened
79,"Baker, GA",2750,35.86000061035156,Strong Expand,0.8487,0.5375,452278.62,19.02,3.54,1.122,0.272,0.238,0.241,0.249,ok,pop_dampened
80,"Bleckley, GA",12455,35.709999084472656,Strong Expand,0.8467,0.5436,452863.62,19.17,3.57,1.123,0.3,0.196,0.228,0.276,ok,pop_dampened
81,"Randolph, GA",6113,35.58000183105469,Strong Expand,0.8435,0.5454,454157.62,19.52,3.63,1.126,0.269,0.232,0.246,0.253,ok,pop_dampened
82,"Quitman, GA",2278,35.4900016784668,Strong Expand,0.849,0.5343,450947.3,18.67,3.48,1.119,0.271,0.244,0.246,0.239,ok,pop_dampened
83,"Madison, GA",32255,35.47999954223633,Strong Expand,0.7945,0.7481,481848.47,26.8,4.86,1.195,0.115,0.171,0.579,0.135,ok,pop_dampened
84,"Bacon, GA",11140,35.310001373291016,Strong Expand,0.8401,0.5763,455180.62,19.78,3.68,1.129,0.248,0.22,0.319,0.214,ok,pop_dampened
85,"Treutlen, GA",6351,35.040000915527344,Strong Expand,0.838,0.5622,455488.8,19.87,3.69,1.13,0.252,0.233,0.284,0.232,ok,pop_dampened
86,"Troup, GA",70957,34.54999923706055,Strong Expand,0.8463,0.6114,449528.62,18.3,3.42,1.115,0.236,0.19,0.442,0.131,ok,
87,"Warren, GA",5108,34.33000183105469,Strong Expand,0.8463,0.5347,448867.7,18.12,3.39,1.113,0.278,0.234,0.257,0.231,ok,pop_dampened
88,"Atkinson, GA",8351,34.31999969482422,Strong Expand,0.8245,0.5614,460643.53,21.22,3.92,1.143,0.271,0.209,0.229,0.291,ok,pop_dampened
89,"Early, GA",10570,33.939998626708984,Strong Expand,0.8423,0.529,449732.2,18.35,3.43,1.116,0.313,0.197,0.212,0.277,ok,pop_dampened
90,"Dade, GA",16188,33.93000030517578,Strong Expand,0.8419,0.5674,449943.28,18.41,3.44,1.116,0.261,0.215,0.33,0.194,ok,pop_dampened
91,"Pickens, GA",35975,33.790000915527344,Cautious Expand,0.8671,0.5534,436434.53,14.85,2.81,1.083,0.292,0.193,0.381,0.134,ok,pop_dampened
92,"Webster, GA",2367,33.65999984741211,Strong Expand,0.8417,0.5289,449221.62,18.22,3.4,1.114,0.278,0.241,0.242,0.238,ok,pop_dampened
93,"Peach, GA",28807,33.47999954223633,Strong Expand,0.8483,0.5682,445156.62,17.15,3.22,1.104,0.215,0.271,0.403,0.111,ok,pop_dampened
94,"Turner, GA",8926,32.959999084472656,Strong Expand,0.8361,0.5372,449997.38,18.42,3.44,1.116,0.293,0.212,0.242,0.253,ok,pop_dampened
95,"Haralson, GA",32040,32.54999923706055,Strong Expand,0.8087,0.6716,463969.1,22.1,4.07,1.151,0.159,0.211,0.517,0.112,ok,pop_dampened
96,"Glascock, GA",2943,32.5099983215332,Strong Expand,0.8408,0.5199,446124.9,17.4,3.26,1.107,0.291,0.237,0.238,0.234,ok,pop_dampened
97,"Dooly, GA",11056,32.29999923706055,Strong Expand,0.8406,0.5213,445579.72,17.26,3.24,1.105,0.249,0.288,0.277,0.187,ok,pop_dampened
98,"Taliaferro, GA",1601,32.290000915527344,Strong Expand,0.8255,0.5419,453718.1,19.4,3.61,1.125,0.263,0.243,0.246,0.247,ok,pop_dampened
99,"Johnson, GA",9328,32.20000076293945,Strong Expand,0.8385,0.5333,446382.8,17.47,3.27,1.107,0.289,0.222,0.265,0.224,ok,pop_dampened
100,"Calhoun, GA",5462,32.099998474121094,Strong Expand,0.8334,0.5311,448825.8,18.11,3.39,1.113,0.281,0.235,0.248,0.236,ok,pop_dampened
101,"Burke, GA",24431,32.060001373291016,Strong Expand,0.8377,0.5679,446381.88,17.47,3.27,1.107,0.222,0.262,0.388,0.128,ok,pop_dampened
102,"Marion, GA",7485,31.43000030517578,Cautious Expand,0.8537,0.4924,436106.2,14.76,2.79,1.082,0.333,0.218,0.227,0.221,ok,pop_dampened
103,"Putnam, GA",23183,31.239999771118164,Strong Expand,0.847,0.536,438946.97,15.51,2.93,1.089,0.301,0.204,0.319,0.176,ok,pop_dampened
104,"McIntosh, GA",11532,31.040000915527344,Strong Expand,0.8426,0.5196,440610.1,15.95,3.0,1.093,0.295,0.232,0.277,0.196,ok,pop_dampened
105,"Screven, GA",14204,30.969999313354492,Cautious Expand,0.8623,0.4763,430319.53,13.24,2.52,1.067,0.374,0.187,0.208,0.231,ok,pop_dampened
106,"Wilkinson, GA",8747,30.940000534057617,Strong Expand,0.8422,0.5099,440541.38,15.93,3.0,1.093,0.302,0.235,0.253,0.21,ok,pop_dampened
107,"Cook, GA",17760,30.93000030517578,Strong Expand,0.806,0.5716,460278.7,21.13,3.91,1.142,0.289,0.174,0.238,0.299,ok,pop_dampened
108,"Echols, GA",3739,30.84000015258789,Strong Expand,0.8278,0.5259,447870.84,17.86,3.34,1.111,0.285,0.236,0.241,0.237,ok,pop_dampened
109,"Whitfield, GA",104147,30.34000015258789,Cautious Expand,0.8512,0.5734,434017.47,14.22,2.69,1.077,0.288,0.173,0.446,0.093,ok,
110,"Lamar, GA",20420,30.049999237060547,Cautious Expand,0.8615,0.4834,427993.84,12.63,2.41,1.062,0.331,0.232,0.274,0.163,ok,pop_dampened
111,"Clay, GA",2869,29.969999313354492,Strong Expand,0.8233,0.5243,447583.4,17.79,3.33,1.11,0.285,0.239,0.241,0.236,ok,pop_dampened
112,"Macon, GA",11838,29.850000381469727,Cautious Expand,0.8489,0.4921,433682.72,14.13,2.68,1.076,0.33,0.222,0.248,0.2,ok,pop_dampened
113,"Stewart, GA",4697,29.760000228881836,Strong Expand,0.8255,0.5179,445701.8,17.29,3.24,1.106,0.302,0.225,0.229,0.244,ok,pop_dampened
114,"Pierce, GA",20443,29.739999771118164,Cautious Expand,0.8537,0.51,430914.28,13.4,2.55,1.069,0.311,0.223,0.32,0.145,ok,pop_dampened
115,"Taylor, GA",7793,29.559999465942383,Strong Expand,0.8226,0.5305,446632.84,17.53,3.28,1.108,0.273,0.246,0.27,0.211,ok,pop_dampened
116,"Wheeler, GA",7097,29.309999465942383,Strong Expand,0.8312,0.5087,441216.38,16.11,3.03,1.094,0.312,0.225,0.237,0.226,ok,pop_dampened
117,"Jenkins, GA",8628,29.299999237060547,Cautious Expand,0.8475,0.4835,432729.62,13.88,2.63,1.073,0.336,0.226,0.233,0.205,ok,pop_dampened
118,"Irwin, GA",9123,29.280000686645508,Cautious Expand,0.8508,0.4782,430966.2,13.41,2.55,1.069,0.348,0.217,0.227,0.208,ok,pop_dampened
119,"McDuffie, GA",21860,29.200000762939453,Cautious Expand,0.8634,0.4729,424438.7,11.69,2.24,1.053,0.342,0.232,0.272,0.154,ok,pop_dampened
120,"Emanuel, GA",23146,29.06999969482422,Strong Expand,0.834,0.522,439017.7,15.53,2.93,1.089,0.241,0.297,0.335,0.127,ok,pop_dampened
121,"Hancock, GA",8730,29.049999237060547,Strong Expand,0.8362,0.4987,437790.75,15.21,2.87,1.086,0.309,0.24,0.245,0.206,ok,pop_dampened
122,"Crawford, GA",12335,28.93000030517578,Cautious Expand,0.8445,0.4865,433110.72,13.98,2.65,1.074,0.321,0.241,0.247,0.191,ok,pop_dampened
123,"Decatur, GA",29124,28.729999542236328,Cautious Expand,0.8422,0.5233,433676.12,14.13,2.68,1.076,0.304,0.216,0.333,0.147,ok,pop_dampened
124,"Lanier, GA",10452,28.579999923706055,Strong Expand,0.8291,0.5059,440019.75,15.79,2.98,1.091,0.319,0.219,0.235,0.227,ok,pop_dampened
125,"Charlton, GA",12928,28.530000686645508,Cautious Expand,0.8365,0.5065,435992.12,14.73,2.79,1.081,0.315,0.223,0.271,0.191,ok,pop_dampened
126,"Clinch, GA",6808,27.610000610351562,Strong Expand,0.8188,0.5108,442536.7,16.46,3.09,1.098,0.313,0.221,0.231,0.236,ok,pop_dampened
127,"Ben Hill, GA",17150,27.59000015258789,Cautious Expand,0.8478,0.4812,427291.53,12.45,2.37,1.06,0.35,0.211,0.26,0.179,ok,pop_dampened
128,"Chattahoochee, GA",8588,27.40999984741211,Cautious Expand,0.84,0.4757,430743.84,13.35,2.54,1.068,0.357,0.209,0.217,0.217,ok,pop_dampened
129,"Lumpkin, GA",35268,26.90999984741211,Cautious Expand,0.8531,0.4719,422553.75,11.2,2.15,1.048,0.384,0.18,0.25,0.186,ok,pop_dampened
130,"Seminole, GA",9080,26.690000534057617,Cautious Expand,0.8363,0.4763,430376.25,13.26,2.52,1.067,0.35,0.217,0.226,0.207,ok,pop_dampened
131,"Lincoln, GA",7898,26.09000015258789,Cautious Expand,0.8314,0.4769,431009.2,13.42,2.55,1.069,0.352,0.214,0.221,0.213,ok,pop_dampened
132,"Meriwether, GA",20964,25.979999542236328,Cautious Expand,0.8564,0.4289,418120.1,10.03,1.93,1.037,0.327,0.305,0.243,0.125,ok,pop_dampened
133,"Wilcox, GA",8801,25.959999084472656,Cautious Expand,0.8322,0.4748,430217.12,13.22,2.51,1.067,0.347,0.223,0.227,0.204,ok,pop_dampened
134,"Polk, GA",44363,25.760000228881836,Cautious Expand,0.8613,0.4917,415068.3,9.23,1.78,1.03,0.392,0.146,0.348,0.115,ok,
135,"Berrien, GA",18587,25.600000381469727,Cautious Expand,0.8456,0.4653,422276.25,11.13,2.13,1.047,0.36,0.219,0.261,0.161,ok,pop_dampened
136,"Jeff Davis, GA",14927,25.559999465942383,Cautious Expand,0.8602,0.43,415011.2,9.21,1.78,1.029,0.425,0.181,0.197,0.196,ok,pop_dampened
137,"Terrell, GA",8704,25.469999313354492,Cautious Expand,0.8265,0.4794,431604.47,13.58,2.58,1.071,0.351,0.212,0.223,0.214,ok,pop_dampened
138,"Morgan, GA",21537,25.3799991607666,Cautious Expand,0.8539,0.4415,417533.28,9.88,1.9,1.036,0.344,0.268,0.261,0.127,ok,pop_dampened
139,"Floyd, GA",100407,24.450000762939453,Cautious Expand,0.8502,0.4584,416481.2,9.6,1.85,1.033,0.266,0.345,0.363,0.027,ok,
140,"Oglethorpe, GA",15788,24.1200008392334,Cautious Expand,0.845,0.4415,418039.97,10.01,1.93,1.037,0.409,0.187,0.208,0.196,ok,pop_dampened
141,"Toombs, GA",27198,22.950000762939453,Cautious Expand,0.8528,0.4465,410637.28,8.06,1.56,1.019,0.392,0.202,0.291,0.115,ok,pop_dampened
142,"Coffee, GA",43464,22.360000610351562,Cautious Expand,0.8424,0.4863,413847.7,8.91,1.72,1.026,0.373,0.176,0.362,0.089,ok,
143,"Elbert, GA",20003,22.280000686645508,Cautious Expand,0.8431,0.4337,413283.88,8.76,1.69,1.025,0.382,0.231,0.251,0.136,ok,pop_dampened
144,"Appling, GA",18517,21.889999389648438,Cautious Expand,0.8483,0.4171,409556.6,7.78,1.51,1.016,0.412,0.213,0.225,0.15,ok,pop_dampened
145,"Dougherty, GA",82635,21.860000610351562,Cautious Expand,0.8553,0.3763,406126.1,6.88,1.34,1.007,0.266,0.447,0.275,0.012,ok,
146,"Wayne, GA",31449,21.649999618530273,Cautious Expand,0.8477,0.4143,409072.38,7.65,1.49,1.015,0.334,0.315,0.281,0.07,ok,pop_dampened
147,"Pulaski, GA",10114,21.18000030517578,Cautious Expand,0.8074,0.4679,427971.1,12.62,2.41,1.062,0.367,0.206,0.215,0.212,ok,pop_dampened
148,"Mitchell, GA",20778,20.59000015258789,Cautious Expand,0.8225,0.4468,418233.72,10.06,1.94,1.037,0.382,0.215,0.239,0.165,ok,pop_dampened
149,"Tift, GA",41620,19.889999389648438,Cautious Expand,0.8407,0.4001,407046.6,7.12,1.38,1.01,0.561,0.049,0.096,0.294,ok,
150,"Worth, GA",20271,19.079999923706055,Cautious Expand,0.8656,0.3608,392896.56,3.39,0.67,0.975,0.511,0.16,0.173,0.156,ok,pop_dampened
151,"Brantley, GA",18417,19.020000457763672,Cautious Expand,0.8212,0.4349,413963.56,8.94,1.73,1.027,0.414,0.189,0.224,0.173,ok,pop_dampened
152,"Chattooga, GA",25176,18.559999465942383,Cautious Expand,0.8509,0.3743,398093.38,4.76,0.93,0.987,0.425,0.25,0.221,0.103,ok,pop_dampened
153,"Dodge, GA",19799,17.940000534057617,Cautious Expand,0.8265,0.4105,407900.16,7.34,1.43,1.012,0.442,0.184,0.202,0.171,ok,pop_dampened
154,"Sumter, GA",28942,16.329999923706055,Cautious Expand,0.809,0.4449,411540.38,8.3,1.61,1.021,0.404,0.189,0.271,0.137,ok,pop_dampened
155,"Murray, GA",41072,13.029999732971191,Cautious Expand,0.8476,0.3585,382612.38,0.69,0.14,0.949,0.469,0.216,0.287,0.028,ok,
156,"Thomas, GA",45666,11.899999618530273,Cautious Expand,0.8581,0.3066,374484.25,-1.45,-0.29,0.929,0.576,0.147,0.171,0.107,ok,
157,"Tattnall, GA",24328,10.369999885559082,Cautious Expand,0.8109,0.3585,391406.38,3.0,0.59,0.971,0.52,0.152,0.174,0.154,ok,pop_dampened
158,"Habersham, GA",48851,8.65999984741211,Cautious Expand,0.827,0.3205,378377.47,-0.43,-0.09,0.939,0.601,0.098,0.146,0.155,ok,
159,"Liberty, GA",68235,0.0,Cautious Expand,0.8517,0.1905,340903.2,-10.29,-2.15,0.846,0.741,0.086,0.114,0.059,ok,
