rank,county,population,score,tier,survival_prob,revenue_score,projected_revenue,sector_growth_pct,annual_growth_rate,economic_adjustment,p_shrinking,p_flat,p_moderate,p_strong,status,notes
20,"Murray, GA",41072,68.88999938964844,Cautious Expand,0.4717,0.8123,1.2161719e+06,46.53,7.94,1.381,0.145,0.053,0.174,0.628,ok,
21,"Glynn, GA",86229,65.70999908447266,Cautious Expand,0.4443,0.9087,1.2687785e+06,52.86,8.86,1.441,0.054,0.047,0.293,0.607,ok,
22,"Newton, GA",120529,65.16000366210938,Cautious Expand,0.4431,0.9092,1.2682992e+06,52.81,8.85,1.44,0.053,0.047,0.295,0.605,ok,
23,"Hall, GA",218248,65.13999938964844,Cautious Expand,0.4678,0.8829,1.2010706e+06,44.71,7.67,1.364,0.057,0.076,0.434,0.434,ok,
24,"Whitfield, GA",104147,64.11000061035156,Cautious Expand,0.4341,0.9232,1.2869188e+06,55.05,9.17,1.461,0.046,0.038,0.277,0.639,ok,
25,"Troup, GA",70957,63.189998626708984,Cautious Expand,0.4405,0.8781,1.261676e+06,52.01,8.74,1.433,0.08,0.053,0.23,0.638,ok,
26,"Laurens, GA",49932,62.58000183105469,Cautious Expand,0.4376,0.9189,1.2657606e+06,52.5,8.81,1.437,0.044,0.046,0.33,0.58,ok,
27,"Baldwin, GA",43423,62.54999923706055,Cautious Expand,0.4246,0.9352,1.3043345e+06,57.15,9.46,1.481,0.039,0.032,0.258,0.671,ok,
28,"Greene, GA",20733,62.34000015258789,Cautious Expand,0.4789,0.7506,1.1549399e+06,39.15,6.83,1.312,0.141,0.136,0.236,0.487,ok,pop_dampened
29,"Clarke, GA",130338,62.2599983215332,Cautious Expand,0.441,0.9317,1.253755e+06,51.05,8.6,1.424,0.034,0.042,0.398,0.525,ok,
30,"Dawson, GA",31720,62.0099983215332,Cautious Expand,0.4552,0.8118,1.2129745e+06,46.14,7.88,1.377,0.119,0.087,0.204,0.59,ok,pop_dampened
31,"DeKalb, GA",768047,62.0,Cautious Expand,0.4792,0.9131,1.1519912e+06,38.79,6.78,1.308,0.027,0.075,0.669,0.229,ok,
32,"Thomas, GA",45666,61.90999984741211,Cautious Expand,0.4417,0.8942,1.2492054e+06,50.51,8.52,1.419,0.062,0.055,0.313,0.57,ok,
33,"Peach, GA",28807,61.220001220703125,Cautious Expand,0.4887,0.7197,1.1246586e+06,35.5,6.26,1.277,0.181,0.125,0.236,0.459,ok,pop_dampened
34,"Fulton, GA",1083971,61.119998931884766,Cautious Expand,0.4998,0.8319,1.0990579e+06,32.42,5.78,1.248,0.073,0.119,0.631,0.177,ok,
35,"Bulloch, GA",84332,60.130001068115234,Cautious Expand,0.4402,0.8753,1.2409064e+06,49.51,8.38,1.409,0.078,0.059,0.285,0.578,ok,
36,"Gwinnett, GA",991602,58.77000045776367,Cautious Expand,0.4646,0.9397,1.1665238e+06,40.55,7.04,1.325,0.021,0.049,0.684,0.246,ok,
37,"Dougherty, GA",82635,58.2400016784668,Cautious Expand,0.4257,0.939,1.2692012e+06,52.92,8.87,1.441,0.03,0.038,0.372,0.559,ok,
38,"Carroll, GA",127293,58.13999938964844,Cautious Expand,0.4498,0.8952,1.2003941e+06,44.63,7.66,1.363,0.047,0.072,0.469,0.412,ok,
39,"Effingham, GA",71549,58.0099983215332,Cautious Expand,0.4655,0.9122,1.1590789e+06,39.65,6.91,1.316,0.031,0.071,0.642,0.256,ok,
40,"Lowndes, GA",120800,57.75,Cautious Expand,0.4302,0.8876,1.2522769e+06,50.88,8.57,1.422,0.069,0.054,0.285,0.592,ok,
41,"Camden, GA",57991,57.56999969482422,Cautious Expand,0.4298,0.916,1.2521721e+06,50.86,8.57,1.422,0.044,0.05,0.363,0.543,ok,
42,"Bibb, GA",156676,57.29999923706055,Cautious Expand,0.4384,0.8615,1.2256385e+06,47.67,8.11,1.392,0.082,0.071,0.298,0.55,ok,
43,"Houston, GA",171955,56.56999969482422,Cautious Expand,0.4474,0.9252,1.1957715e+06,44.07,7.58,1.358,0.031,0.055,0.558,0.356,ok,
44,"Harris, GA",36700,56.38999938964844,Cautious Expand,0.4624,0.8678,1.1557384e+06,39.25,6.85,1.312,0.059,0.092,0.539,0.31,ok,pop_dampened
45,"Monroe, GA",30616,55.459999084472656,Cautious Expand,0.4611,0.806,1.1527048e+06,38.88,6.79,1.309,0.101,0.116,0.388,0.395,ok,pop_dampened
46,"Floyd, GA",100407,54.45000076293945,Cautious Expand,0.4356,0.8361,1.2128801e+06,46.13,7.88,1.377,0.108,0.07,0.263,0.56,ok,
47,"Barrow, GA",93011,53.9900016784668,Cautious Expand,0.4834,0.6838,1.0900389e+06,31.33,5.6,1.238,0.237,0.099,0.224,0.44,ok,
48,"Muscogee, GA",201959,53.939998626708984,Cautious Expand,0.4397,0.8932,1.1980512e+06,44.34,7.62,1.361,0.049,0.072,0.471,0.408,ok,
49,"Tift, GA",41620,53.869998931884766,Cautious Expand,0.4213,0.917,1.249809e+06,50.58,8.53,1.419,0.043,0.05,0.372,0.535,ok,
50,"White, GA",29056,53.13999938964844,Cautious Expand,0.442,0.817,1.1861619e+06,42.91,7.4,1.347,0.101,0.102,0.309,0.488,ok,pop_dampened
51,"Polk, GA",44363,53.029998779296875,Cautious Expand,0.4399,0.8072,1.1909475e+06,43.49,7.49,1.352,0.136,0.071,0.248,0.546,ok,
52,"Colquitt, GA",46515,52.90999984741211,Cautious Expand,0.4233,0.8668,1.2367842e+06,49.01,8.3,1.404,0.084,0.061,0.275,0.58,ok,
53,"Spalding, GA",69992,52.689998626708984,Cautious Expand,0.4423,0.8433,1.1820456e+06,42.42,7.33,1.342,0.088,0.086,0.386,0.44,ok,
54,"Fannin, GA",25916,52.470001220703125,Cautious Expand,0.4459,0.773,1.171084e+06,41.09,7.13,1.33,0.133,0.118,0.239,0.51,ok,pop_dampened
55,"Morgan, GA",21537,52.11000061035156,Cautious Expand,0.4564,0.737,1.1416558e+06,37.55,6.58,1.296,0.152,0.139,0.241,0.468,ok,pop_dampened
56,"Union, GA",27115,52.04999923706055,Cautious Expand,0.4351,0.8015,1.197051e+06,44.22,7.6,1.359,0.115,0.105,0.234,0.547,ok,pop_dampened
57,"Pierce, GA",20443,51.83000183105469,Cautious Expand,0.4672,0.6939,1.1132314e+06,34.12,6.05,1.264,0.187,0.149,0.214,0.45,ok,pop_dampened
58,"Habersham, GA",48851,51.16999816894531,Cautious Expand,0.433,0.8086,1.1964972e+06,44.16,7.59,1.359,0.132,0.074,0.236,0.558,ok,
59,"Richmond, GA",205646,51.029998779296875,Cautious Expand,0.4348,0.8783,1.1904425e+06,43.43,7.48,1.352,0.058,0.08,0.456,0.407,ok,
60,"Upson, GA",28265,50.68000030517578,Cautious Expand,0.4338,0.7983,1.1907344e+06,43.46,7.48,1.352,0.119,0.104,0.243,0.534,ok,pop_dampened
61,"Walker, GA",69410,50.45000076293945,Cautious Expand,0.4354,0.8897,1.1847789e+06,42.74,7.38,1.345,0.05,0.076,0.503,0.372,ok,
62,"Jones, GA",29000,50.34000015258789,Cautious Expand,0.4408,0.7588,1.1694419e+06,40.9,7.1,1.328,0.157,0.106,0.197,0.541,ok,pop_dampened
63,"Banks, GA",19863,49.310001373291016,Cautious Expand,0.4417,0.7465,1.1596338e+06,39.71,6.92,1.317,0.144,0.137,0.211,0.508,ok,pop_dampened
64,"Long, GA",19651,48.59000015258789,Cautious Expand,0.4777,0.6948,1.0676159e+06,28.63,5.16,1.212,0.163,0.178,0.381,0.278,ok,pop_dampened
65,"Gordon, GA",59844,48.54999923706055,Cautious Expand,0.4373,0.8981,1.1659449e+06,40.48,7.03,1.324,0.043,0.074,0.583,0.3,ok,
66,"Ware, GA",36263,48.38999938964844,Cautious Expand,0.406,0.8927,1.254502e+06,51.14,8.61,1.425,0.062,0.057,0.294,0.587,ok,pop_dampened
67,"Lamar, GA",20420,48.31999969482422,Cautious Expand,0.4544,0.7118,1.1203636e+06,34.98,6.18,1.272,0.167,0.151,0.243,0.438,ok,pop_dampened
68,"Lumpkin, GA",35268,48.119998931884766,Cautious Expand,0.4314,0.8526,1.178681e+06,42.01,7.27,1.339,0.073,0.093,0.426,0.408,ok,pop_dampened
69,"Gilmer, GA",32868,47.83000183105469,Cautious Expand,0.4402,0.8235,1.1531676e+06,38.94,6.8,1.31,0.089,0.109,0.432,0.37,ok,pop_dampened
70,"Haralson, GA",32040,46.75,Cautious Expand,0.441,0.8274,1.1432682e+06,37.74,6.61,1.298,0.086,0.108,0.473,0.333,ok,pop_dampened
71,"Stephens, GA",27255,46.75,Cautious Expand,0.4312,0.7839,1.1694239e+06,40.89,7.1,1.328,0.123,0.116,0.274,0.487,ok,pop_dampened
72,"Terrell, GA",8704,46.45000076293945,Cautious Expand,0.4758,0.6215,1.0576951e+06,27.43,4.97,1.201,0.217,0.202,0.221,0.361,ok,pop_dampened
73,"Franklin, GA",24815,46.45000076293945,Cautious Expand,0.4249,0.773,1.1843952e+06,42.7,7.37,1.345,0.135,0.114,0.197,0.553,ok,pop_dampened
74,"Rabun, GA",17525,46.31999969482422,Cautious Expand,0.4541,0.7,1.1074189e+06,33.42,5.94,1.258,0.17,0.162,0.258,0.41,ok,pop_dampened
75,"Putnam, GA",23183,45.47999954223633,Cautious Expand,0.4525,0.7287,1.1055856e+06,33.2,5.9,1.255,0.15,0.152,0.339,0.36,ok,pop_dampened
76,"Crisp, GA",19668,44.779998779296875,Cautious Expand,0.4412,0.7285,1.1287899e+06,36.0,6.34,1.282,0.153,0.148,0.263,0.436,ok,pop_dampened
77,"Rockdale, GA",96263,44.68000030517578,Cautious Expand,0.4382,0.8272,1.1358635e+06,36.85,6.48,1.29,0.084,0.111,0.497,0.308,ok,
78,"Grady, GA",26130,44.4900016784668,Cautious Expand,0.4323,0.7858,1.1498816e+06,38.54,6.74,1.306,0.117,0.121,0.343,0.419,ok,pop_dampened
79,"Toombs, GA",27198,44.16999816894531,Cautious Expand,0.4136,0.7864,1.1996206e+06,44.53,7.64,1.362,0.133,0.101,0.181,0.585,ok,pop_dampened
80,"Liberty, GA",68235,43.79999923706055,Cautious Expand,0.4413,0.8537,1.1215219e+06,35.12,6.21,1.274,0.055,0.114,0.619,0.211,ok,
81,"McIntosh, GA",11532,43.189998626708984,Cautious Expand,0.4628,0.6519,1.065281e+06,28.35,5.12,1.21,0.193,0.194,0.277,0.336,ok,pop_dampened
82,"Madison, GA",32255,42.939998626708984,Cautious Expand,0.4479,0.7221,1.099159e+06,32.43,5.78,1.248,0.164,0.143,0.333,0.36,ok,pop_dampened
83,"Brantley, GA",18417,42.20000076293945,Cautious Expand,0.434,0.7038,1.1289564e+06,36.02,6.35,1.282,0.177,0.149,0.192,0.482,ok,pop_dampened
84,"Emanuel, GA",23146,41.810001373291016,Cautious Expand,0.4323,0.7583,1.130459e+06,36.2,6.37,1.284,0.132,0.137,0.335,0.396,ok,pop_dampened
85,"Hart, GA",27557,41.61000061035156,Cautious Expand,0.4371,0.7287,1.1166788e+06,34.54,6.11,1.268,0.154,0.147,0.299,0.4,ok,pop_dampened
86,"Clayton, GA",299380,41.56999969482422,Cautious Expand,0.4371,0.838,1.1164576e+06,34.51,6.11,1.268,0.055,0.134,0.603,0.208,ok,
87,"Worth, GA",20271,40.75,Cautious Expand,0.4439,0.6737,1.0933586e+06,31.73,5.67,1.242,0.202,0.155,0.224,0.419,ok,pop_dampened
88,"Sumter, GA",28942,39.65999984741211,Cautious Expand,0.4237,0.7506,1.137401e+06,37.04,6.5,1.292,0.149,0.125,0.284,0.442,ok,pop_dampened
89,"Catoosa, GA",68935,39.630001068115234,Cautious Expand,0.4364,0.7085,1.1041752e+06,33.03,5.87,1.254,0.212,0.1,0.253,0.436,ok,
90,"Decatur, GA",29124,39.22999954223633,Cautious Expand,0.4187,0.7951,1.1479938e+06,38.31,6.7,1.304,0.108,0.122,0.375,0.396,ok,pop_dampened
91,"McDuffie, GA",21860,38.2400016784668,Cautious Expand,0.4336,0.7115,1.1012362e+06,32.68,5.82,1.251,0.164,0.156,0.306,0.374,ok,pop_dampened
92,"Taliaferro, GA",1601,37.88999938964844,Cautious Expand,0.4789,0.5475,994786.8,19.85,3.69,1.13,0.254,0.248,0.252,0.246,ok,pop_dampened
93,"Chattooga, GA",25176,35.400001525878906,Cautious Expand,0.4221,0.7439,1.1100335e+06,33.74,5.99,1.261,0.142,0.143,0.362,0.353,ok,pop_dampened
94,"Lanier, GA",10452,35.2599983215332,Cautious Expand,0.4484,0.6294,1.0439336e+06,25.78,4.69,1.185,0.204,0.208,0.292,0.295,ok,pop_dampened
95,"Jasper, GA",16496,34.900001525878906,Cautious Expand,0.4437,0.6359,1.0525731e+06,26.82,4.87,1.195,0.213,0.189,0.27,0.328,ok,pop_dampened
96,"Ben Hill, GA",17150,34.189998626708984,Cautious Expand,0.4179,0.6915,1.1121081e+06,33.99,6.03,1.263,0.181,0.16,0.217,0.442,ok,pop_dampened
97,"Evans, GA",10753,33.439998626708984,Cautious Expand,0.4377,0.6405,1.0565594e+06,27.3,4.95,1.2,0.2,0.2,0.277,0.324,ok,pop_dampened
98,"Clinch, GA",6808,33.43000030517578,Cautious Expand,0.4473,0.6034,1.0337326e+06,24.55,4.49,1.174,0.221,0.22,0.26,0.299,ok,pop_dampened
99,"Screven, GA",14204,33.40999984741211,Cautious Expand,0.4286,0.6653,1.0787204e+06,29.97,5.38,1.225,0.19,0.181,0.263,0.366,ok,pop_dampened
100,"Washington, GA",19891,33.279998779296875,Cautious Expand,0.4276,0.6709,1.0803168e+06,30.16,5.41,1.227,0.191,0.172,0.268,0.368,ok,pop_dampened
101,"Atkinson, GA",8351,32.91999816894531,Cautious Expand,0.445,0.6138,1.03558094e+06,24.77,4.53,1.176,0.216,0.213,0.279,0.292,ok,pop_dampened
102,"Lincoln, GA",7898,32.20000076293945,Cautious Expand,0.439,0.6152,1.0443982e+06,25.83,4.7,1.186,0.216,0.211,0.253,0.32,ok,pop_dampened
103,"Tattnall, GA",24328,31.850000381469727,Cautious Expand,0.4114,0.7062,1.1120254e+06,33.98,6.02,1.263,0.174,0.15,0.253,0.423,ok,pop_dampened
104,"Cook, GA",17760,31.6299991607666,Cautious Expand,0.4204,0.6552,1.0865271e+06,30.91,5.53,1.234,0.218,0.158,0.195,0.428,ok,pop_dampened
105,"Bleckley, GA",12455,31.530000686645508,Cautious Expand,0.4235,0.6486,1.0777994e+06,29.86,5.36,1.224,0.204,0.184,0.221,0.391,ok,pop_dampened
106,"Miller, GA",5790,31.450000762939453,Cautious Expand,0.4438,0.592,1.0278422e+06,23.84,4.37,1.167,0.228,0.226,0.251,0.296,ok,pop_dampened
107,"Dade, GA",16188,31.43000030517578,Cautious Expand,0.4213,0.689,1.0827348e+06,30.45,5.46,1.23,0.172,0.173,0.313,0.342,ok,pop_dampened
108,"Appling, GA",18517,31.200000762939453,Cautious Expand,0.4435,0.642,1.0268422e+06,23.72,4.35,1.166,0.183,0.219,0.392,0.206,ok,pop_dampened
109,"Berrien, GA",18587,31.15999984741211,Cautious Expand,0.4287,0.6433,1.0618826e+06,27.94,5.05,1.206,0.207,0.187,0.259,0.347,ok,pop_dampened
110,"Towns, GA",13007,30.489999771118164,Cautious Expand,0.4334,0.6432,1.04573006e+06,25.99,4.73,1.188,0.194,0.204,0.323,0.279,ok,pop_dampened
111,"Bacon, GA",11140,30.229999542236328,Cautious Expand,0.4197,0.6493,1.0778809e+06,29.87,5.37,1.224,0.199,0.19,0.226,0.386,ok,pop_dampened
112,"Mitchell, GA",20778,29.31999969482422,Cautious Expand,0.424,0.6884,1.0601606e+06,27.73,5.02,1.204,0.16,0.19,0.395,0.256,ok,pop_dampened
113,"Brooks, GA",16275,29.229999542236328,Cautious Expand,0.4223,0.6805,1.0637375e+06,28.16,5.09,1.208,0.172,0.185,0.358,0.286,ok,pop_dampened
114,"Irwin, GA",9123,28.75,Cautious Expand,0.4217,0.6279,1.0617615e+06,27.92,5.05,1.206,0.212,0.2,0.224,0.364,ok,pop_dampened
115,"Pulaski, GA",10114,28.31999969482422,Cautious Expand,0.4262,0.6204,1.0473845e+06,26.19,4.76,1.189,0.215,0.206,0.254,0.325,ok,pop_dampened
116,"Oglethorpe, GA",15788,28.15999984741211,Cautious Expand,0.4425,0.5884,1.0076991e+06,21.41,3.96,1.144,0.184,0.284,0.345,0.186,ok,pop_dampened
117,"Meriwether, GA",20964,27.0,Cautious Expand,0.417,0.6922,1.0604751e+06,27.77,5.02,1.204,0.161,0.183,0.4,0.255,ok,pop_dampened
118,"Randolph, GA",6113,26.93000030517578,Cautious Expand,0.4297,0.5977,1.028716e+06,23.94,4.39,1.168,0.224,0.223,0.263,0.29,ok,pop_dampened
119,"Talbot, GA",5715,26.25,Cautious Expand,0.4429,0.5417,993165.2,19.66,3.65,1.128,0.228,0.287,0.265,0.219,ok,pop_dampened
120,"Jeff Davis, GA",14927,25.899999618530273,Cautious Expand,0.4209,0.6396,1.04235875e+06,25.59,4.66,1.184,0.204,0.196,0.319,0.281,ok,pop_dampened
121,"Schley, GA",4534,25.65999984741211,Cautious Expand,0.4294,0.587,1.0200984e+06,22.9,4.21,1.158,0.229,0.23,0.266,0.275,ok,pop_dampened
122,"Candler, GA",11106,25.649999618530273,Cautious Expand,0.4262,0.598,1.02756706e+06,23.8,4.36,1.167,0.235,0.208,0.259,0.297,ok,pop_dampened
123,"Elbert, GA",20003,25.559999465942383,Cautious Expand,0.4133,0.654,1.0589605e+06,27.59,4.99,1.203,0.195,0.189,0.301,0.316,ok,pop_dampened
124,"Taylor, GA",7793,25.170000076293945,Cautious Expand,0.4204,0.6137,1.03817144e+06,25.08,4.58,1.179,0.215,0.214,0.271,0.3,ok,pop_dampened
125,"Burke, GA",24431,25.1299991607666,Cautious Expand,0.4289,0.6325,1.0174711e+06,22.59,4.16,1.155,0.189,0.223,0.398,0.19,ok,pop_dampened
126,"Pike, GA",20422,25.030000686645508,Cautious Expand,0.3911,0.7049,1.1149335e+06,34.33,6.08,1.266,0.173,0.153,0.242,0.432,ok,pop_dampened
127,"Macon, GA",11838,24.950000762939453,Cautious Expand,0.4283,0.6083,1.0174092e+06,22.58,4.16,1.155,0.21,0.227,0.334,0.229,ok,pop_dampened
128,"Wayne, GA",31449,24.780000686645508,Cautious Expand,0.4336,0.6318,1.0037366e+06,20.93,3.87,1.14,0.142,0.283,0.48,0.095,ok,pop_dampened
129,"Chattahoochee, GA",8588,24.700000762939453,Cautious Expand,0.4267,0.6133,1.01953475e+06,22.84,4.2,1.158,0.206,0.227,0.34,0.228,ok,pop_dampened
130,"Wilkinson, GA",8747,24.530000686645508,Cautious Expand,0.4264,0.5981,1.0190158e+06,22.77,4.19,1.157,0.223,0.224,0.297,0.256,ok,pop_dampened
131,"Charlton, GA",12928,23.979999542236328,Cautious Expand,0.4163,0.624,1.0394149e+06,25.23,4.6,1.18,0.215,0.201,0.288,0.296,ok,pop_dampened
132,"Jefferson, GA",15211,23.979999542236328,Cautious Expand,0.4138,0.6345,1.04571294e+06,25.99,4.73,1.188,0.202,0.205,0.299,0.295,ok,pop_dampened
133,"Turner, GA",8926,23.969999313354492,Cautious Expand,0.4102,0.6226,1.0548858e+06,27.09,4.91,1.198,0.214,0.204,0.234,0.348,ok,pop_dampened
134,"Webster, GA",2367,23.780000686645508,Cautious Expand,0.431,0.5575,1.0026094e+06,20.8,3.85,1.139,0.249,0.241,0.249,0.26,ok,pop_dampened
135,"Crawford, GA",12335,23.770000457763672,Cautious Expand,0.4332,0.5625,997543.7,20.19,3.75,1.133,0.213,0.28,0.304,0.202,ok,pop_dampened
136,"Wilkes, GA",9552,23.280000686645508,Cautious Expand,0.4126,0.6289,1.0434797e+06,25.72,4.68,1.185,0.204,0.208,0.293,0.294,ok,pop_dampened
137,"Montgomery, GA",8767,23.030000686645508,Cautious Expand,0.4083,0.6305,1.0526354e+06,26.82,4.87,1.195,0.206,0.205,0.265,0.325,ok,pop_dampened
138,"Treutlen, GA",6351,23.020000457763672,Cautious Expand,0.4177,0.5924,1.02890544e+06,23.96,4.39,1.168,0.231,0.221,0.246,0.302,ok,pop_dampened
139,"Hancock, GA",8730,22.969999313354492,Cautious Expand,0.4159,0.602,1.0329564e+06,24.45,4.47,1.173,0.229,0.211,0.254,0.306,ok,pop_dampened
140,"Warren, GA",5108,22.84000015258789,Cautious Expand,0.4269,0.5719,1.0053495e+06,21.13,3.91,1.142,0.233,0.244,0.282,0.241,ok,pop_dampened
141,"Stewart, GA",4697,21.799999237060547,Cautious Expand,0.4207,0.5831,1.0122366e+06,21.96,4.05,1.149,0.229,0.234,0.285,0.252,ok,pop_dampened
142,"Twiggs, GA",7706,21.799999237060547,Cautious Expand,0.4153,0.5962,1.0254362e+06,23.55,4.32,1.164,0.224,0.224,0.271,0.281,ok,pop_dampened
143,"Marion, GA",7485,20.81999969482422,Cautious Expand,0.4192,0.5685,1.00867594e+06,21.53,3.98,1.145,0.254,0.222,0.248,0.276,ok,pop_dampened
144,"Dooly, GA",11056,19.489999771118164,Cautious Expand,0.4013,0.629,1.0432624e+06,25.69,4.68,1.185,0.205,0.207,0.293,0.295,ok,pop_dampened
145,"Dodge, GA",19799,18.219999313354492,Cautious Expand,0.413,0.5843,1.0041576e+06,20.98,3.88,1.14,0.256,0.2,0.294,0.25,ok,pop_dampened
146,"Glascock, GA",2943,18.1299991607666,Cautious Expand,0.4121,0.5629,1.00559294e+06,21.16,3.91,1.142,0.246,0.239,0.253,0.262,ok,pop_dampened
147,"Telfair, GA",10969,16.829999923706055,Cautious Expand,0.395,0.6253,1.0387171e+06,25.15,4.59,1.18,0.209,0.207,0.297,0.287,ok,pop_dampened
148,"Jenkins, GA",8628,16.729999542236328,Cautious Expand,0.3971,0.6015,1.03249006e+06,24.4,4.46,1.172,0.226,0.216,0.257,0.302,ok,pop_dampened
149,"Clay, GA",2869,16.040000915527344,Cautious Expand,0.4086,0.5541,998115.06,20.25,3.76,1.133,0.249,0.246,0.258,0.247,ok,pop_dampened
150,"Heard, GA",12052,15.390000343322754,Cautious Expand,0.4157,0.4658,976190.25,17.61,3.3,1.109,0.18,0.443,0.202,0.175,ok,pop_dampened
151,"Calhoun, GA",5462,14.170000076293945,Cautious Expand,0.3939,0.5806,1.0203631e+06,22.94,4.22,1.159,0.238,0.227,0.245,0.29,ok,pop_dampened
152,"Wilcox, GA",8801,11.65999984741211,Cautious Expand,0.3949,0.5666,997962.56,20.24,3.75,1.133,0.245,0.236,0.288,0.232,ok,pop_dampened
153,"Early, GA",10570,11.619999885559082,Cautious Expand,0.3932,0.5661,1.0018209e+06,20.7,3.83,1.138,0.24,0.242,0.277,0.241,ok,pop_dampened
154,"Johnson, GA",9328,11.619999885559082,Cautious Expand,0.3735,0.6279,1.0547585e+06,27.08,4.91,1.198,0.21,0.203,0.249,0.338,ok,pop_dampened
155,"Baker, GA",2750,7.989999771118164,Cautious Expand,0.3834,0.5509,997744.5,20.21,3.75,1.133,0.255,0.242,0.248,0.255,ok,pop_dampened
156,"Echols, GA",3739,7.329999923706055,Cautious Expand,0.3778,0.5701,1.0071651e+06,21.35,3.95,1.144,0.239,0.239,0.268,0.254,ok,pop_dampened
157,"Quitman, GA",2278,3.6600000858306885,Cautious Expand,0.3651,0.5677,1.0105398e+06,21.75,4.01,1.148,0.241,0.239,0.25,0.27,ok,pop_dampened
158,"Wheeler, GA",7097,2.759999990463257,Cautious Expand,0.366,0.5642,1.0005416e+06,20.55,3.81,1.136,0.247,0.236,0.272,0.245,ok,pop_dampened
159,"Seminole, GA",9080,0.0,Cautious Expand,0.3436,0.6019,1.040468e+06,25.36,4.62,1.182,0.235,0.205,0.224,0.337,ok,pop_dampened
